productid,country,company,cost,estimatedTime,tracked
32859893411,NO,China Post Registered Air Mail,0 USD,19-31 days,true
32859893411,NO,ePacket,4.71 USD,13-22 days,true
32859893411,NO,AliExpress Standard Shipping,5.42 USD,17-26 days,true
32859893411,NO,EMS,32.80 USD,14-27 days,true
32859893411,NO,DHL,51.82 USD,8-16 days,true
32859893411,NZ,China Post Registered Air Mail,0 USD,14-25 days,true
32859893411,NZ,ePacket,0 USD,20-35 days,true
32859893411,NZ,AliExpress Standard Shipping,5.26 USD,13-20 days,true
32859893411,NZ,EMS,24.60 USD,11-19 days,true
32859893411,NZ,DHL,39.49 USD,9-17 days,true
32859893411,PL,AliExpress Standard Shipping,0 USD,28 days,true
32859893411,PL,EMS,39.24 USD,27 days,true
32859893411,PL,DHL,51.82 USD,8-15 days,true
32859893411,PT,China Post Registered Air Mail,0 USD,21-38 days,true
32859893411,PT,AliExpress Standard Shipping,5.49 USD,20-35 days,true
32859893411,PT,ePacket,5.71 USD,20-35 days,true
32859893411,PT,EMS,32.80 USD,27 days,true
32859893411,PT,DHL,51.82 USD,8-21 days,true
32859893411,RU,Russian Air,0 USD,26 days,true
32859893411,RU,China Post Registered Air Mail,2.33 USD,38 days,true
32859893411,RU,AliExpress Standard Shipping,5.02 USD,21 days,true
32859893411,RU,EMS,39.24 USD,27 days,true
32859893411,RU,DHL,99.45 USD,7-15 days,false
32859893411,SE,China Post Registered Air Mail,0 USD,22-33 days,true
32859893411,SE,ePacket,4.59 USD,20-35 days,true
32859893411,SE,AliExpress Standard Shipping,5.41 USD,14-23 days,true
32859893411,SE,EMS,32.80 USD,14-26 days,true
32859893411,SE,DHL,51.82 USD,8-17 days,true
32859893411,SK,China Post Registered Air Mail,1.86 USD,20-31 days,true
32859893411,SK,AliExpress Standard Shipping,5.97 USD,20-27 days,true
32859893411,SK,DHL,51.82 USD,10-23 days,true
32859893411,TR,China Post Registered Air Mail,0 USD,28 days,true
32859893411,TR,ePacket,5.59 USD,24 days,true
32859893411,TR,AliExpress Standard Shipping,5.84 USD,25 days,true
32859893411,TR,EMS,35.14 USD,27 days,true
32859893411,TR,DHL,66.25 USD,9-21 days,true
32859893411,US,AliExpress Standard Shipping,0 USD,23 days,true
32859893411,US,ePacket,0 USD,23 days,true
32859893411,US,EMS,28.12 USD,26 days,true
32859893411,US,DHL,40.27 USD,6-13 days,true
32859893411,AG,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,AG,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,AG,DHL,99.45 USD,7-15 days,true
32859893411,AO,China Post Registered Air Mail,2.55 USD,26-44 days,false
32859893411,AO,AliExpress Standard Shipping,6.36 USD,34-54 days,false
32859893411,AO,DHL,99.45 USD,13-23 days,true
32859893411,AW,China Post Registered Air Mail,2.74 USD,40-60 days,false
32859893411,AW,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,AW,DHL,99.45 USD,7-15 days,true
32859893411,DZ,China Post Registered Air Mail,2.55 USD,44-60 days,false
32859893411,DZ,AliExpress Standard Shipping,6.36 USD,37-59 days,false
32859893411,DZ,DHL,99.45 USD,11-23 days,true
32859893411,AI,China Post Registered Air Mail,2.74 USD,20-40 days,false
32859893411,AI,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,AI,DHL,99.45 USD,7-15 days,true
32859893411,AQ,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,AS,China Post Registered Air Mail,2.42 USD,20-40 days,false
32859893411,AS,AliExpress Standard Shipping,5.84 USD,20-40 days,false
32859893411,AS,DHL,99.45 USD,7-15 days,true
32859893411,AF,China Post Registered Air Mail,2.55 USD,36-58 days,false
32859893411,AF,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,AF,DHL,66.25 USD,7-15 days,true
32859893411,AL,China Post Registered Air Mail,3.08 USD,21-36 days,true
32859893411,AL,AliExpress Standard Shipping,6.06 USD,26-43 days,true
32859893411,AL,DHL,99.45 USD,9-20 days,true
32859893411,AD,China Post Registered Air Mail,2.55 USD,23-40 days,true
32859893411,AD,AliExpress Standard Shipping,6.06 USD,21-34 days,true
32859893411,AD,DHL,51.82 USD,7-15 days,true
32859893411,AM,China Post Registered Air Mail,2.55 USD,35-59 days,false
32859893411,AM,AliExpress Standard Shipping,6.06 USD,40-57 days,false
32859893411,AM,DHL,99.45 USD,11-21 days,true
32859893411,BM,China Post Registered Air Mail,2.74 USD,20-40 days,false
32859893411,BM,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,BM,DHL,99.45 USD,10-17 days,true
32859893411,BG,China Post Registered Air Mail,0 USD,23-45 days,true
32859893411,BG,AliExpress Standard Shipping,5.61 USD,14-28 days,true
32859893411,BG,DHL,51.82 USD,11-20 days,true
32859893411,BG,EMS,52.14 USD,14-27 days,true
32859893411,BQ,AliExpress Standard Shipping,6.06 USD,20-40 days,true
32859893411,BI,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,BI,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,BI,DHL,99.45 USD,7-15 days,true
32859893411,TD,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,TD,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,TD,EMS,52.14 USD,7-15 days,true
32859893411,TD,DHL,99.45 USD,7-15 days,true
32859893411,BW,China Post Registered Air Mail,2.55 USD,41-59 days,false
32859893411,BW,AliExpress Standard Shipping,6.36 USD,46-60 days,false
32859893411,BW,EMS,52.14 USD,7-15 days,true
32859893411,BW,DHL,99.45 USD,18-23 days,true
32859893411,BS,China Post Registered Air Mail,2.74 USD,39-60 days,false
32859893411,BS,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,BS,DHL,99.45 USD,7-15 days,true
32859893411,BT,China Post Registered Air Mail,2.55 USD,18-28 days,true
32859893411,BT,AliExpress Standard Shipping,5.68 USD,19-26 days,true
32859893411,BT,DHL,99.45 USD,7-15 days,true
32859893411,KH,China Post Registered Air Mail,1.94 USD,20-34 days,true
32859893411,KH,AliExpress Standard Shipping,5.12 USD,16-28 days,true
32859893411,KH,EMS,22.26 USD,12-21 days,true
32859893411,KH,DHL,39.36 USD,8-14 days,true
32859893411,BZ,China Post Registered Air Mail,2.55 USD,34-58 days,false
32859893411,BZ,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,BZ,DHL,99.45 USD,7-15 days,true
32859893411,BF,China Post Registered Air Mail,2.55 USD,24-40 days,true
32859893411,BF,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,BF,EMS,52.14 USD,7-15 days,true
32859893411,BF,DHL,99.45 USD,7-15 days,true
32859893411,BA,China Post Registered Air Mail,2.60 USD,23-43 days,false
32859893411,BA,AliExpress Standard Shipping,6.06 USD,31-56 days,false
32859893411,BA,DHL,99.45 USD,7-15 days,true
32859893411,BN,China Post Registered Air Mail,1.71 USD,29-44 days,false
32859893411,BN,AliExpress Standard Shipping,5.08 USD,25-35 days,false
32859893411,BN,DHL,39.36 USD,9-17 days,true
32859893411,BY,China Post Registered Air Mail,0 USD,23-41 days,true
32859893411,BY,AliExpress Standard Shipping,5.99 USD,23-38 days,true
32859893411,BY,EMS,39.24 USD,20-27 days,true
32859893411,BY,DHL,99.45 USD,7-15 days,true
32859893411,AZ,China Post Registered Air Mail,2.55 USD,21-37 days,false
32859893411,AZ,AliExpress Standard Shipping,6.13 USD,20-36 days,false
32859893411,AZ,EMS,52.14 USD,5-17 days,false
32859893411,AZ,DHL,99.45 USD,12-20 days,true
32859893411,BD,China Post Registered Air Mail,2.55 USD,20-38 days,false
32859893411,BD,AliExpress Standard Shipping,5.68 USD,20-40 days,false
32859893411,BD,EMS,35.14 USD,7-15 days,true
32859893411,BD,DHL,99.45 USD,7-15 days,true
32859893411,BB,China Post Registered Air Mail,2.60 USD,33-53 days,true
32859893411,BB,AliExpress Standard Shipping,6.36 USD,41-60 days,true
32859893411,BB,DHL,99.45 USD,11-23 days,true
32859893411,BV,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,IO,AliExpress Standard Shipping,6.06 USD,20-40 days,true
32859893411,CV,China Post Registered Air Mail,2.55 USD,36-56 days,false
32859893411,CV,AliExpress Standard Shipping,6.36 USD,27-41 days,false
32859893411,CV,DHL,99.45 USD,11-23 days,true
32859893411,CF,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,CF,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,CF,DHL,99.45 USD,7-15 days,true
32859893411,CM,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,CM,DHL,99.45 USD,11-20 days,true
32859893411,KY,China Post Registered Air Mail,2.74 USD,35-52 days,false
32859893411,KY,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,KY,EMS,52.14 USD,7-15 days,true
32859893411,KY,DHL,99.45 USD,9-20 days,true
32859893411,BJ,China Post Registered Air Mail,2.55 USD,22-41 days,false
32859893411,BJ,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,BJ,DHL,99.45 USD,7-15 days,true
32859893411,BO,AliExpress Standard Shipping,6.36 USD,36-59 days,false
32859893411,BO,DHL,99.45 USD,16-23 days,true
32859893411,BH,China Post Registered Air Mail,2.62 USD,24-40 days,false
32859893411,BH,AliExpress Standard Shipping,5.77 USD,20-37 days,false
32859893411,BH,EMS,52.14 USD,14-24 days,true
32859893411,BH,DHL,66.25 USD,9-17 days,true
32859893411,CX,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,CX,AliExpress Standard Shipping,5.69 USD,20-40 days,true
32859893411,CK,China Post Registered Air Mail,2.42 USD,23-39 days,false
32859893411,CK,AliExpress Standard Shipping,5.80 USD,20-40 days,false
32859893411,CK,DHL,99.45 USD,7-15 days,true
32859893411,GF,China Post Registered Air Mail,2.55 USD,28-49 days,true
32859893411,GF,AliExpress Standard Shipping,6.36 USD,25-42 days,true
32859893411,GF,DHL,99.45 USD,7-15 days,false
32859893411,DJ,China Post Registered Air Mail,2.55 USD,26-49 days,false
32859893411,DJ,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,DJ,EMS,52.14 USD,7-15 days,true
32859893411,DJ,DHL,99.45 USD,7-15 days,true
32859893411,CI,China Post Registered Air Mail,2.55 USD,31-56 days,false
32859893411,CI,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,CI,EMS,52.14 USD,7-15 days,true
32859893411,CI,DHL,99.45 USD,7-15 days,true
32859893411,CU,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,CU,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,CU,EMS,39.24 USD,7-15 days,true
32859893411,CU,DHL,99.45 USD,7-15 days,true
32859893411,CY,China Post Registered Air Mail,2.56 USD,24-43 days,true
32859893411,CY,AliExpress Standard Shipping,6.06 USD,20-36 days,true
32859893411,CY,DHL,51.82 USD,10-19 days,true
32859893411,CY,EMS,52.14 USD,7-15 days,true
32859893411,CR,China Post Registered Air Mail,2.55 USD,41-59 days,false
32859893411,CR,AliExpress Standard Shipping,6.36 USD,45-60 days,false
32859893411,CR,DHL,99.45 USD,11-23 days,true
32859893411,CW,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,CW,DHL,99.45 USD,4-8 days,false
32859893411,EC,China Post Registered Air Mail,2.55 USD,47-60 days,false
32859893411,EC,AliExpress Standard Shipping,6.36 USD,49-60 days,false
32859893411,EC,DHL,99.45 USD,13-23 days,true
32859893411,FK,China Post Registered Air Mail,2.74 USD,20-40 days,false
32859893411,FK,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,FK,DHL,99.45 USD,7-15 days,true
32859893411,CC,China Post Registered Air Mail,2.42 USD,20-40 days,true
32859893411,CC,AliExpress Standard Shipping,5.69 USD,20-40 days,true
32859893411,EE,China Post Registered Air Mail,2.02 USD,26-41 days,true
32859893411,EE,AliExpress Standard Shipping,5.82 USD,15-23 days,true
32859893411,EE,DHL,51.82 USD,10-23 days,true
32859893411,EE,EMS,52.14 USD,15-27 days,true
32859893411,FO,China Post Registered Air Mail,2.60 USD,27-54 days,false
32859893411,FO,AliExpress Standard Shipping,6.06 USD,21-42 days,false
32859893411,FO,DHL,99.45 USD,7-15 days,true
32859893411,CO,China Post Registered Air Mail,2.55 USD,30-43 days,true
32859893411,CO,AliExpress Standard Shipping,6.36 USD,23-35 days,true
32859893411,CO,EMS,39.24 USD,22-27 days,true
32859893411,CO,DHL,99.45 USD,11-23 days,true
32859893411,DO,China Post Registered Air Mail,2.74 USD,49-60 days,false
32859893411,DO,AliExpress Standard Shipping,6.36 USD,43-59 days,false
32859893411,DO,DHL,99.45 USD,11-23 days,true
32859893411,FJ,China Post Registered Air Mail,2.55 USD,29-49 days,true
32859893411,FJ,AliExpress Standard Shipping,5.68 USD,23-45 days,true
32859893411,FJ,DHL,99.45 USD,11-22 days,true
32859893411,SV,China Post Registered Air Mail,2.55 USD,49-60 days,false
32859893411,SV,AliExpress Standard Shipping,6.36 USD,35-56 days,false
32859893411,SV,DHL,99.45 USD,23-40 days,true
32859893411,GQ,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,GQ,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GQ,DHL,99.45 USD,7-15 days,true
32859893411,HR,China Post Registered Air Mail,2.19 USD,16-28 days,true
32859893411,HR,AliExpress Standard Shipping,5.88 USD,14-22 days,true
32859893411,HR,DHL,51.82 USD,11-23 days,true
32859893411,HR,EMS,52.14 USD,7-15 days,true
32859893411,DM,China Post Registered Air Mail,2.74 USD,20-40 days,false
32859893411,DM,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,DM,DHL,99.45 USD,7-15 days,true
32859893411,KM,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,KM,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,KM,DHL,99.45 USD,7-15 days,true
32859893411,ET,China Post Registered Air Mail,2.55 USD,26-60 days,false
32859893411,ET,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,ET,EMS,52.14 USD,7-15 days,true
32859893411,ET,DHL,99.45 USD,7-15 days,true
32859893411,CG,China Post Registered Air Mail,2.74 USD,20-40 days,false
32859893411,CG,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,CG,EMS,52.14 USD,7-15 days,true
32859893411,CG,DHL,99.45 USD,7-15 days,true
32859893411,EG,China Post Registered Air Mail,2.55 USD,40-58 days,false
32859893411,EG,AliExpress Standard Shipping,6.36 USD,36-57 days,false
32859893411,EG,EMS,52.14 USD,7-15 days,true
32859893411,EG,DHL,66.25 USD,10-23 days,true
32859893411,ER,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,ER,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,ER,DHL,99.45 USD,7-15 days,true
32859893411,GY,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GY,EMS,39.24 USD,7-15 days,true
32859893411,GY,DHL,99.45 USD,7-15 days,true
32859893411,GL,China Post Registered Air Mail,2.60 USD,28-55 days,false
32859893411,GL,AliExpress Standard Shipping,6.06 USD,20-40 days,false
32859893411,GL,DHL,51.82 USD,7-15 days,true
32859893411,GD,China Post Registered Air Mail,2.55 USD,37-60 days,false
32859893411,GD,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GD,DHL,99.45 USD,7-15 days,true
32859893411,GU,AliExpress Standard Shipping,5.68 USD,20-40 days,false
32859893411,GU,DHL,99.45 USD,7-15 days,true
32859893411,ID,AliExpress Standard Shipping,0 USD,20-35 days,true
32859893411,ID,China Post Registered Air Mail,0 USD,20-36 days,true
32859893411,ID,EMS,22.26 USD,15-27 days,true
32859893411,ID,DHL,39.36 USD,9-19 days,true
32859893411,GM,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,GM,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GM,DHL,99.45 USD,7-15 days,true
32859893411,HT,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,HT,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,HT,DHL,99.45 USD,7-15 days,true
32859893411,HM,AliExpress Standard Shipping,5.69 USD,20-40 days,true
32859893411,GW,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GW,DHL,99.45 USD,7-15 days,true
32859893411,IS,China Post Registered Air Mail,2.61 USD,22-38 days,true
32859893411,IS,AliExpress Standard Shipping,6.06 USD,25-40 days,true
32859893411,IS,DHL,51.82 USD,12-23 days,true
32859893411,GI,China Post Registered Air Mail,2.60 USD,28-51 days,true
32859893411,GI,AliExpress Standard Shipping,6.06 USD,20-40 days,true
32859893411,GI,DHL,51.82 USD,7-15 days,true
32859893411,GN,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,GN,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GN,EMS,52.14 USD,7-15 days,true
32859893411,GN,DHL,99.45 USD,7-15 days,true
32859893411,GE,China Post Registered Air Mail,2.55 USD,32-60 days,true
32859893411,GE,AliExpress Standard Shipping,5.82 USD,24-39 days,true
32859893411,GE,DHL,99.45 USD,10-20 days,true
32859893411,GR,China Post Registered Air Mail,2.46 USD,22-38 days,true
32859893411,GR,ePacket,5.59 USD,20-35 days,false
32859893411,GR,AliExpress Standard Shipping,6.02 USD,20-34 days,true
32859893411,GR,EMS,32.80 USD,15-27 days,true
32859893411,GR,DHL,51.82 USD,11-23 days,true
32859893411,GH,China Post Registered Air Mail,2.55 USD,37-57 days,false
32859893411,GH,AliExpress Standard Shipping,6.36 USD,32-50 days,false
32859893411,GH,EMS,52.14 USD,17-27 days,true
32859893411,GH,DHL,99.45 USD,10-23 days,true
32859893411,VA,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,VA,AliExpress Standard Shipping,6.06 USD,20-40 days,false
32859893411,HK,ePacket,0 USD,20-35 days,false
32859893411,HK,AliExpress Standard Shipping,5.12 USD,15-25 days,true
32859893411,HK,EMS,15.23 USD,8-20 days,true
32859893411,HK,DHL,26.11 USD,7-15 days,false
32859893411,GA,China Post Registered Air Mail,2.55 USD,25-55 days,false
32859893411,GA,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,GA,EMS,52.14 USD,7-15 days,true
32859893411,GA,DHL,99.45 USD,7-15 days,true
32859893411,TF,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,HU,China Post Registered Air Mail,0 USD,20-31 days,true
32859893411,HU,ePacket,5.59 USD,20-35 days,true
32859893411,HU,AliExpress Standard Shipping,5.94 USD,19-27 days,true
32859893411,HU,EMS,39.24 USD,16-27 days,true
32859893411,HU,DHL,51.82 USD,9-18 days,true
32859893411,PF,China Post Registered Air Mail,2.42 USD,46-60 days,false
32859893411,PF,AliExpress Standard Shipping,5.68 USD,29-47 days,false
32859893411,GP,China Post Registered Air Mail,2.74 USD,25-44 days,true
32859893411,GP,AliExpress Standard Shipping,6.36 USD,23-37 days,true
32859893411,GP,DHL,99.45 USD,10-19 days,true
32859893411,HN,China Post Registered Air Mail,2.55 USD,46-60 days,false
32859893411,HN,AliExpress Standard Shipping,6.36 USD,44-60 days,false
32859893411,HN,DHL,99.45 USD,7-15 days,true
32859893411,GT,China Post Registered Air Mail,2.55 USD,52-60 days,false
32859893411,GT,DHL,99.45 USD,13-23 days,true
32859893411,KI,China Post Registered Air Mail,2.55 USD,20-40 days,false
32859893411,KI,AliExpress Standard Shipping,5.68 USD,20-40 days,false
32859893411,KI,DHL,99.45 USD,7-15 days,true
32859893411,KP,China Post Registered Air Mail,2.26 USD,20-40 days,true
32859893411,KP,AliExpress Standard Shipping,5.68 USD,20-40 days,true
32859893411,KP,EMS,21.08 USD,7-15 days,true
32859893411,KP,DHL,99.45 USD,7-15 days,true
32859893411,IQ,China Post Registered Air Mail,2.55 USD,36-56 days,false
32859893411,IQ,AliExpress Standard Shipping,6.36 USD,37-55 days,false
32859893411,IQ,EMS,52.14 USD,5-17 days,false
32859893411,IQ,DHL,99.45 USD,17-23 days,true
32859893411,IR,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,IR,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,IR,EMS,52.14 USD,7-15 days,true
32859893411,IR,DHL,99.45 USD,7-15 days,true
32859893411,KP,China Post Registered Air Mail,2.26 USD,20-40 days,true
32859893411,KP,AliExpress Standard Shipping,5.68 USD,20-40 days,true
32859893411,KP,EMS,21.08 USD,7-15 days,true
32859893411,KP,DHL,99.45 USD,7-15 days,true
32859893411,IR,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,IR,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,IR,EMS,52.14 USD,7-15 days,true
32859893411,IR,DHL,99.45 USD,7-15 days,true
32859893411,MT,China Post Registered Air Mail,2.94 USD,16-28 days,true
32859893411,MT,AliExpress Standard Shipping,6.06 USD,14-23 days,true
32859893411,MT,EMS,32.80 USD,17-27 days,true
32859893411,MT,DHL,51.82 USD,9-20 days,true
32859893411,MR,China Post Registered Air Mail,2.55 USD,20-40 days,true
32859893411,MR,AliExpress Standard Shipping,6.36 USD,20-40 days,true
32859893411,MR,DHL,99.45 USD,7-15 days,true
32859893411,MM,China Post Registered Air Mail,2.26 USD,24-43 days,false
32859893411,MM,AliExpress Standard Shipping,5.68 USD,21-43 days,false
32859893411,MM,DHL,99.45 USD,8-15 days,true
32859893411,MW,China Post Registered Air Mail,2.55 USD,44-60 days,false
32859893411,MW,AliExpress Standard Shipping,6.36 USD,20-40 days,false
32859893411,MW,DHL,99.45 USD,7-15 days,true
32859893411,MV,China Post Registered Air Mail,2.38 USD,24-39 days,true
32859893411,MV,AliExpress Standard Shipping,5.36 USD,21-36 days,true
32859893411,MV,DHL,99.45 USD,10-19 days,true
32859893411,MU,China Post Registered Air Mail,2.55 USD,27-47 days,true
32859893411,MU,AliExpress Standard Shipping,6.36 USD,23-40 days,true
32859893411,MU,DHL,99.45 USD,8-17 days,true
32859893411,MC,China Post Registered Air Mail,0 USD,23-52 days,true
32859893411,MC,AliExpress Standard Shipping,6.06 USD,20-40 days,true
32859893411,MC,DHL,51.82 USD,7-15 days,false
32859893411,MZ,China Post Registered Air Mail,2.55 USD,34-57 days,false
32859893411,MZ,AliExpress Standard Shipping,6.36 USD,42-57 days,false
32859893411,MZ,EMS,52.14 USD,7-15 days,true
32859893411,MZ,DHL,99.45 USD,13-23 days,true
